folder,image,was_found,time,dataset,type
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,1\2.jpg,True,49.021,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,10\8.jpg,True,48.916,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,10\5.jpg,False,45.596,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,17\5.jpg,True,45.657,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,1\2.jpg,True,48.71,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,19\2.jpg,True,48.756,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,1\2.jpg,False,46.248,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,19\2.jpg,False,45.476,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,38\8.jpg,True,79.272,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\converted_images\\,10\8.jpg,True,66.282,att,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,19\10.jpg,False,54.231,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\converted_images\\,1\2.jpg,True,52.042,att,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,29\2.jpg,False,48.203,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,2\8.jpg,True,47.568,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\1.jpg,False,47.838,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,20\10.jpg,True,47.103,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,10\8.jpg,True,88.867,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,19\2.jpg,True,95.275,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,29\10.jpg,True,99.411,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,38\8.jpg,True,82.575,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,18\9.jpg,False,67.733,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,20\2.jpg,True,56.674,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,2\5.jpg,True,57.64,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,10\8.jpg,False,53.066,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,1\1.jpg,True,51.565,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,17\5.jpg,True,49.93,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,29\2.jpg,True,105.033,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,10\8.jpg,True,106.533,att,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face5\2face5.jpg,True,20.989,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face2\10face2.jpg,True,19.551,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face6\8face6.jpg,True,16.78,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face4\5face4.jpg,True,14.779,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face4\5face4.jpg,True,13.86,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face1\2face1.jpg,True,13.398,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face6\12face6.jpg,True,12.807,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face6\12face6.jpg,True,15.474,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face4\10face4.jpg,True,15.616,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face6\8face6.jpg,False,16.048,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face5\2face5.jpg,True,15.843,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\tt_dataset\Final Training Images\,face4\5face4.jpg,False,15.956,tt,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face6\8face6.jpg,True,15.891,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face1\2face1.jpg,True,13.765,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face3\8face3.jpg,True,13.62,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face4\10face4.jpg,True,13.604,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face6\12face6.jpg,True,13.538,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\noised\tt_dataset\Final Training Images\,face4\5face4.jpg,True,21.009,tt,blured
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face5\2face5.jpg,True,19.332,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face5\2face5.jpg,True,20.014,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face6\8face6.jpg,True,19.328,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face1\2face1.jpg,True,19.588,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face5\10face5.jpg,True,18.888,tt,noised
C:\Users\Vadym\PycharmProjects\Engineer_project\images\tests\blured\tt_dataset\Final Training Images\,face1\1face1.jpg,True,17.145,tt,noised
